image_directory,isComplete,raw_code,code,caption,hasAssert
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/Vijayaraghavan-A Practical Guide for SystemVerilog Assertions_p230.jpg,True,"The image contains Verilog code snippets, which are assertions and properties for SDRAM operation checks. Here is the code present in the image:

```verilog
property p_rd_wr;
    @(posedge clk)
        s_read |-> not ##[0:tCAS] s_write;
endproperty

a_rd_wr: assert property (p_rd_wr);
c_rd_wr: cover property (p_rd_wr);

property p_tRP_not;
    @(posedge clk)
        s_precharge |-> not ##[0:(tRP - 1)] s_active;
endproperty

property p_tRP;
    @(posedge clk)
        s_precharge |-> ##[tRP:12000] s_active;
endproperty

a_tRP_not: assert property (p_tRP_not);
a_tRP: assert property (p_tRP);

c_tRP_not: assert property (p_tRP_not);
```

These code snippets use SystemVerilog assertions to enforce timing relationships between different signals in an SDRAM module. For example, `p_rd_wr` is a property that ensures a write command (`s_write`) cannot be issued within the CAS latency (`tCAS`) after a read command (`s_read`).

Please note that the `##[start:end]` syntax refers to a range of cycles in which the subsequent events must occur (or not occur) for the assertion to pass. The expressions `a_*` are used to assert the properties, while `c_*` are used for coverage purposes.","
property p_rd_wr;
    @(posedge clk)
        s_read |-> not ##[0:tCAS] s_write;
endproperty

a_rd_wr: assert property (p_rd_wr);
c_rd_wr: cover property (p_rd_wr);

property p_tRP_not;
    @(posedge clk)
        s_precharge |-> not ##[0:(tRP - 1)] s_active;
endproperty

property p_tRP;
    @(posedge clk)
        s_precharge |-> ##[tRP:12000] s_active;
endproperty

a_tRP_not: assert property (p_tRP_not);
a_tRP: assert property (p_tRP);

c_tRP_not: assert property (p_tRP_not);
","""Verilog Assertions for SDRAM Timing Constraints""",True
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/Vijayaraghavan-A Practical Guide for SystemVerilog Assertions_p224.jpg,True,"```verilog
property p_tMRD;
  @(posedge clk)
    `s_loadmoderegister |-> ##[tMRD] `s_active;
endproperty
```","
property p_tMRD;
  @(posedge clk)
    `s_loadmoderegister |-> ##[tMRD] `s_active;
endproperty
",A textbook page discussing SDRAM timing parameters and Verilog code for a property checking the timing between load mode register to active command.,False
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/AshokMehta-System Verilog Assertions and Functional Coverage_p357.jpg,True,"The image contains the following Verilog code:

```verilog
checker checker_identifier [(checker_port_list)];
  checker_or_generate_item
endchecker [: checker_identifier]
```

And also a module declaration:

```verilog
module checkerModule #(burstSize = 4) ( dack_, oe_, bMode, bMode_in, clk, rst);
input dack_, oe_, bMode , bMode_in, clk, rst;
```","
checker checker_identifier [(checker_port_list)];
  checker_or_generate_item
endchecker [: checker_identifier]


module checkerModule #(burstSize = 4) ( dack_, oe_, bMode, bMode_in, clk, rst);
input dack_, oe_, bMode , bMode_in, clk, rst;
","Caption: ""Understanding Verilog Checkers - An Introduction and Syntax Example with 'checkerModule' Code Snippet""",False
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/SpearTumbush-SystemVerilog for Verification_p107.jpg,True,"The image contains verbatim code in Verilog along with some explanations. Here's the code from the image:

```verilog
bit [7:0] b8;
bit one = 1'b1;              // Single bit
$displayb(one + one);        // A: 1+1 = 0

b8 = one + one;              // B: 1+1 = 2
$displayb(b8);

$displayb(one + one + 2'b0); // C: 1+1 = 2 with constant

$displayb(2'(one) + one);    // D: 1+1 = 2 with cast
```

These code snippets illustrate different ways to handle expression width and the resulting values in SystemVerilog, emphasizing context-dependent behavior.","
bit [7:0] b8;
bit one = 1'b1;              // Single bit
$displayb(one + one);        // A: 1+1 = 0

b8 = one + one;              // B: 1+1 = 2
$displayb(b8);

$displayb(one + one + 2'b0); // C: 1+1 = 2 with constant

$displayb(2'(one) + one);    // D: 1+1 = 2 with cast
","""Exploring Verilog Code Examples and Context-Dependent Expression Width in Digital Design""",False
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/FosterKrolnikLacey-Assertion-Based Design_p95.jpg,True,"The image contains two snippets of code related to PSL (Property Specification Language) and Verilog. Here they are:

Example 3-15
```verilog
default clock = (posedge clk);
assert always (req -> next ack) abort !reset_n;
```

Example 3-16
```verilog
assert always (req -> next (ack -> next (!halt -> (grant & next grant))));
```","
default clock = (posedge clk);
assert always (req -> next ack) abort !reset_n;


assert always (req -> next (ack -> next (!halt -> (grant & next grant))));
","""Example of PSL default clock and sequence specification using the 'next' operator in Verilog.""",True
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/AshokMehta-System Verilog Assertions and Functional Coverage_p431.jpg,True,"The image contains Verilog code. Here is the code as displayed in the image:

```verilog
//-------------------------------
// CHECK # 3. Check that if ld_cnt is deasserted (==1) and count_enb is
// enabled (==1) that if updn_cnt==1 the count goes UP and if updn_cnt==0 the
// count goes DOWN.
//-------------------------------

`ifdef check3
property counter_count;
@(posedge clk) disable iff (|rst) (|d_cnt_t & count_enb) |-> 
  (if (updn_cnt) ##1 (data_out+8'h01) == $past(data_out)
   else           ##1 (data_out-8'h01) == $past(data_out));
endproperty

counter_count_check: assert property(counter_count)
else $display($stime,, ""\t\tCOUNTER COUNT CHECK FAIL:: UPDOWN COUNT using
$past\n"");
`endif

//-------------------------------
// Alternate way of writing assertion for CHECK # 3
// Check for count using local variable
//-------------------------------

/*
`ifdef check3
property counter_count_local;
logic[7:0] local_data;
@(posedge clk) disable iff (|rst) (|d_cnt_t & count_enb, local_data = data_out) |-> 
  (if (updn_cnt) ##1 (local_data == (local_data+8'h01))
   else          ##1 (local_data == (local_data-8'h01)));
endproperty

counter_count_check: assert property(counter_count)
else $display($stime,, ""\t\tCOUNTER COUNT CHECK FAIL:: UPDOWN COUNT using
$past\n"");
`endif
*/
```

The code is split into two main parts within the image, each with a different way of writing a check for the same condition. The first part is uncommented and would be active in a simulation or synthesis, while the second part is commented out and would not be active.","
//-------------------------------
// CHECK # 3. Check that if ld_cnt is deasserted (==1) and count_enb is
// enabled (==1) that if updn_cnt==1 the count goes UP and if updn_cnt==0 the
// count goes DOWN.
//-------------------------------

`ifdef check3
property counter_count;
@(posedge clk) disable iff (|rst) (|d_cnt_t & count_enb) |-> 
  (if (updn_cnt) ##1 (data_out+8'h01) == $past(data_out)
   else           ##1 (data_out-8'h01) == $past(data_out));
endproperty

counter_count_check: assert property(counter_count)
else $display($stime,, ""\t\tCOUNTER COUNT CHECK FAIL:: UPDOWN COUNT using
$past\n"");
`endif

//-------------------------------
// Alternate way of writing assertion for CHECK # 3
// Check for count using local variable
//-------------------------------

/*
`ifdef check3
property counter_count_local;
logic[7:0] local_data;
@(posedge clk) disable iff (|rst) (|d_cnt_t & count_enb, local_data = data_out) |-> 
  (if (updn_cnt) ##1 (local_data == (local_data+8'h01))
   else          ##1 (local_data == (local_data-8'h01)));
endproperty

counter_count_check: assert property(counter_count)
else $display($stime,, ""\t\tCOUNTER COUNT CHECK FAIL:: UPDOWN COUNT using
$past\n"");
`endif
*/
",Verilog code example of property assertions for checking counter behavior based on enable and up/down control signals.,True
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/AshokMehta-System Verilog Assertions and Functional Coverage_p419.jpg,True,"The image contains code related to Verilog and assertions in a form of a property and its use within verification. Here is the Verilog code from the image:

First code snippet:

```verilog
property pr1;
  @(posedge clk) req ##2 gnt;
endproperty
reaGnt: assert property (pr1) $display($stime,,,""\t %m PASS"");
  else $display($stime,,,""\t %m FAIL"");
```

Second code snippet:

```verilog
`define no_implication

/* Rest of the code is not visible and is therefore not transcribed */
```

The text also includes a Q&A session with output logs discussing the behavior of the code snippet related to the implications in assertions.","
property pr1;
  @(posedge clk) req ##2 gnt;
endproperty
reaGnt: assert property (pr1) $display($stime,,,""\t %m PASS"");
  else $display($stime,,,""\t %m FAIL"");


`define no_implication

/* Rest of the code is not visible and is therefore not transcribed */
","""Example and explanation of a Verilog property without an implication operator and its test simulation output.""",True
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/StuartSutherland-The Verilog PLI Handbook_p134.jpg,True,"The image contains code written in C that appears to be using Verilog PLI (Programming Language Interface). Here is the code from the image:

```c
#else /* if error, generate brief error message */
if (systf_h == NULL) {
    vpi_printf(""ERROR: PLIbook_getarg_handle_vpi() could not obtain handle to systf call\n"");
    return(NULL);
}
#endif

arg_itr = vpi_iterate(vpiArgument, systf_h);
#ifdef PLIbookDebug /* if error, generate verbose debug message */
if (vpi_chk_error(&err)) {
    vpi_printf(""ERROR: PLIbook_getarg_handle_vpi() could not obtain iterator to systf args\n"");
    vpi_printf(""File %s, Line %d: %s\n"",
               err.file, err.line, err.message);
}
#else /* if error, generate brief error message */
if (systf_h == NULL) {
    vpi_printf(""ERROR: PLIbook_getarg_handle_vpi() could not obtain iterator to systf args\n"");
    return(NULL);
}
#endif

for (i=1; i<=argNum; i++) {
    arg_h = vpi_scan(arg_itr);
#ifdef PLIbookDebug /* if error, generate verbose debug message */
    if (vpi_chk_error(&err)) {
        vpi_printf(""ERROR: PLIbook_getarg_handle_vpi() could not obtain handle to systf arg %d\n"", i);
        vpi_printf(""File %s, Line %d: %s\n"",
                   err.file, err.line, err.message);
    }
#endif
    if (arg_h == NULL) {
        vpi_printf(""ERROR: PLIbook_getarg_handle_vpi() systf arg %d out-of-range\n"",
                   argNum);
        return(NULL);
    }
}
vpi_free_object(arg_itr); /* free iterator -- didn't scan all args */

return(arg_h);
```

This code is making use of the VPI library functions to interact with Verilog data structures from C code. The `#ifdef` and `#endif` statements in the code suggest that portions of the code will be compiled conditionally, depending on whether `PLIbookDebug` is defined. If `PLIbookDebug` is defined, the code will print more detailed error messages using the error information provided by the VPI function `vpi_chk_error()`."," /* if error, generate brief error message */
if (systf_h == NULL) {
    vpi_printf(""ERROR: PLIbook_getarg_handle_vpi() could not obtain handle to systf call\n"");
    return(NULL);
}
#endif

arg_itr = vpi_iterate(vpiArgument, systf_h);
#ifdef PLIbookDebug /* if error, generate verbose debug message */
if (vpi_chk_error(&err)) {
    vpi_printf(""ERROR: PLIbook_getarg_handle_vpi() could not obtain iterator to systf args\n"");
    vpi_printf(""File %s, Line %d: %s\n"",
               err.file, err.line, err.message);
}
#else /* if error, generate brief error message */
if (systf_h == NULL) {
    vpi_printf(""ERROR: PLIbook_getarg_handle_vpi() could not obtain iterator to systf args\n"");
    return(NULL);
}
#endif

for (i=1; i<=argNum; i++) {
    arg_h = vpi_scan(arg_itr);
#ifdef PLIbookDebug /* if error, generate verbose debug message */
    if (vpi_chk_error(&err)) {
        vpi_printf(""ERROR: PLIbook_getarg_handle_vpi() could not obtain handle to systf arg %d\n"", i);
        vpi_printf(""File %s, Line %d: %s\n"",
                   err.file, err.line, err.message);
    }
#endif
    if (arg_h == NULL) {
        vpi_printf(""ERROR: PLIbook_getarg_handle_vpi() systf arg %d out-of-range\n"",
                   argNum);
        return(NULL);
    }
}
vpi_free_object(arg_itr); /* free iterator -- didn't scan all args */

return(arg_h);
","This image contains an excerpt from ""The Verilog PLI Handbook"" showing a section of Verilog code related to the Programming Language Interface (PLI). The code handles error messaging for a system call argument handle retrieval process.",False
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/StuartSutherland-The Verilog PLI Handbook_p652.jpg,True,"The image shows a page from ""The Verilog PLI Handbook, Appendices,"" with a piece of code written in C, which is related to Verilog Programming Language Interface (PLI). Here is the code present on the image:

```c
{
    0,                          /* type of PLI routine */
    0,                          /* user_data value */
    PLIbook_ShowVal_checktf,    /* checktf routine */
    PLIbook_ShowVal_sizetf,     /* sizetf routine */
    PLIbook_ShowVal_calltf,     /* calltf routine */
    0,                          /* misctf routine */
    ""$show_value"",              /* system task/function name */
    1                           /* forward reference = true */
},

{
    (userfunction,
    0,                          /* type of PLI routine */
    0,                          /* user_data value */
    PLIbook_pow_checktf,        /* checktf routine */
    PLIbook_pow_sizetf,         /* sizetf routine */
    PLIbook_pow_calltf,         /* calltf routine */
    PLIbook_pow_misctf,         /* misctf routine */
    ""$pow"",                     /* system task/function name */
    1                           /* forward reference = true */
},

{0} /*** final entry must be 0 ***/
};
```

The code seems to be a part of an array definition, possibly used to define PLI applications in the Verilog simulation environment. Each entry specifies the handlers for the different callback functions associated with a system task or function in Verilog (e.g., checktf, sizetf, calltf, misctf), the name of the system task/function, and whether a forward reference is allowed.

Please note that without further context from preceding or following pages, some of the details and the purpose of this specific code snippet might not be fully clear."," 0,                          /* type of PLI routine */
    0,                          /* user_data value */
    PLIbook_ShowVal_checktf,    /* checktf routine */
    PLIbook_ShowVal_sizetf,     /* sizetf routine */
    PLIbook_ShowVal_calltf,     /* calltf routine */
    0,                          /* misctf routine */
    ""$show_value"",              /* system task/function name */
    1                           /* forward reference = true */
},

{
    (userfunction,
    0,                          /* type of PLI routine */
    0,                          /* user_data value */
    PLIbook_pow_checktf,        /* checktf routine */
    PLIbook_pow_sizetf,         /* sizetf routine */
    PLIbook_pow_calltf,         /* calltf routine */
    PLIbook_pow_misctf,         /* misctf routine */
    ""$pow"",                     /* system task/function name */
    1                           /* forward reference = true */
},

{0} /*** final entry must be 0 ***/
};
","""Excerpt from The Verilog PLI Handbook detailing the structure and initialization of PLI applications in Verilog.""",False
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/StuartSutherland-The Verilog PLI Handbook_p120.jpg,True,"The image contains a snippet of code from a Verilog PLI (Programming Language Interface) Handbook. Here is the text of the code present in the image:

```c
#define PLIbookDebug 1  /* set to 0 to omit debug messages */
#ifdef PLIbookDebug
  s_vpi_error_info err; /* allocate a VPI error structure */
#endif

primitive_handle = vpi_handle(vpiPrimitive, NULL);
#ifdef PLIbookDebug  /* if error, generate verbose debug message */
  if (vpi_chk_error(&err)) {
    vpi_printf(""\nERROR:\n"");
    vpi_printf("" Product: %s Code: %s\n"", err.product, err.code);
    vpi_printf("" Message: %s\n"", err.message);
    if (err.file != NULL) {
      vpi_printf("" File: %s Line: %d\n\n"", err.file, err.line);
    }
  }
#else  /* if error, generate basic error message */
  if (primitive_handle == NULL)
    vpi_printf(""\nERROR: could not obtain primitive handle\n"");
#endif
```

This example demonstrates how to use `vpi_chk_error` to check for errors after calling `vpi_handle` and how to print detailed error information depending on whether `PLIbookDebug` is defined and set to 1. If debugging is enabled, it will print out the product, code, message, file, and line number associated with the error. If debugging is not enabled, a basic error message is printed if the handle could not be obtained.","ne PLIbookDebug 1  /* set to 0 to omit debug messages */
#ifdef PLIbookDebug
  s_vpi_error_info err; /* allocate a VPI error structure */
#endif

primitive_handle = vpi_handle(vpiPrimitive, NULL);
#ifdef PLIbookDebug  /* if error, generate verbose debug message */
  if (vpi_chk_error(&err)) {
    vpi_printf(""\nERROR:\n"");
    vpi_printf("" Product: %s Code: %s\n"", err.product, err.code);
    vpi_printf("" Message: %s\n"", err.message);
    if (err.file != NULL) {
      vpi_printf("" File: %s Line: %d\n\n"", err.file, err.line);
    }
  }
#else  /* if error, generate basic error message */
  if (primitive_handle == NULL)
    vpi_printf(""\nERROR: could not obtain primitive handle\n"");
#endif
","""Verilog Programming Interface (VPI) error handling example using conditional compilation for debugging.""",False
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/CernyDudani-SVA- The Power of Assertions in SystemVerilog_p137.jpg,True,"The image contains several snippets of Verilog code used within assert property statements. Here are the Verilog code excerpts:

1.
```verilog
a1: assert property (@(posedge clk) start |-> ##2 send |-> ##3 ack);
```

2.
```verilog
a2: assert property (@(posedge clk) start ##2 send |-> ##3 ack);
```

3.
```verilog
a1: assert property (@(posedge clk) req |-> req until grant);
```

4.
```verilog
a2: assert property (@(posedge clk) reg |-> reg until_with grant);
```","
a1: assert property (@(posedge clk) start |-> ##2 send |-> ##3 ack);


a2: assert property (@(posedge clk) start ##2 send |-> ##3 ack);


a1: assert property (@(posedge clk) req |-> req until grant);


a2: assert property (@(posedge clk) reg |-> reg until_with grant);
",Discussion and code examples related to synchronous assertion properties in Verilog using SystemVerilog syntax for sequence and property definitions.,True
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/FosterKrolnikLacey-Assertion-Based Design_p311.jpg,True,"The image contains snippets of text that describe aspects of Verilog coding conventions and control variables for runtime macros from the Assertion Monitor Library (OVL) but does not contain actual code implementations or examples. Here are the text snippets visible in the image:

```
{ ,ordered_port_connection}
| named_port_connection { ,named_port_connection}

ordered_port_connection ::= [expression]

named_port_connection ::= .port_identifier
([expression])

assert_identifier ::= assert_[type_identifier]

type_identifier ::= identifier
```

```
A.2.1 OVL runtime macro controls

The Assertion Monitor Library currently includes four Verilog
Macro Global Variables:

`ASSERT_GLOBAL_RESET`
`ASSERT_MAX_REPORT_ERROR`
`ASSERT_ON`
`ASSERT_INIT_MSG`

These four variables are described briefly in the table below and in
greater detail in the following paragraphs.
```

```
Variable                   Definition
----------------------------------------------------------
ASSERT_GLOBAL_RESET        Overrides individual reset_n signals
ASSERT_MAX_REPORT_ERROR    Defines the number of errors required to trigger a report
ASSERT_ON                  Enables assertion monitors during verification
ASSERT_INIT_MSG            Prints a report that lists the assertions present in a
                           given simulation environment.
```

```
The list_of_module_connections has one required
parameter, reset_n. The signal reset_n is an active low signal
that indicates to the assertion monitor when the initialization of
the circuit being monitored is complete. During the time when
reset_n is low, the assertion monitor will be disabled and not
initialized. Alternatively, to specify a reset_n signal or condition
for each assertion monitor, you may specify the global macro
variable `ASSERT_GLOBAL_RESET`. If this variable is
defined, all instantiated monitors will disregard their respective
reset_n signals. Instead, they will be initialized whenever
`ASSERT_GLOBAL_RESET` is low.
```

Please note that the content shown above includes definitions and descriptions, not executable Verilog code.","ered_port_connection}
| named_port_connection { ,named_port_connection}

ordered_port_connection ::= [expression]

named_port_connection ::= .port_identifier
([expression])

assert_identifier ::= assert_[type_identifier]

type_identifier ::= identifier

OVL runtime macro controls

The Assertion Monitor Library currently includes four Verilog
Macro Global Variables:

`ASSERT_GLOBAL_RESET`
`ASSERT_MAX_REPORT_ERROR`
`ASSERT_ON`
`ASSERT_INIT_MSG`

These four variables are described briefly in the table below and in
greater detail in the following paragraphs.

le                   Definition
----------------------------------------------------------
ASSERT_GLOBAL_RESET        Overrides individual reset_n signals
ASSERT_MAX_REPORT_ERROR    Defines the number of errors required to trigger a report
ASSERT_ON                  Enables assertion monitors during verification
ASSERT_INIT_MSG            Prints a report that lists the assertions present in a
                           given simulation environment.

st_of_module_connections has one required
parameter, reset_n. The signal reset_n is an active low signal
that indicates to the assertion monitor when the initialization of
the circuit being monitored is complete. During the time when
reset_n is low, the assertion monitor will be disabled and not
initialized. Alternatively, to specify a reset_n signal or condition
for each assertion monitor, you may specify the global macro
variable `ASSERT_GLOBAL_RESET`. If this variable is
defined, all instantiated monitors will disregard their respective
reset_n signals. Instead, they will be initialized whenever
`ASSERT_GLOBAL_RESET` is low.
",Verilog syntax and Open Verification Library (OVL) runtime macro controls for assertion monitoring.,True
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/AshokMehta-System Verilog Assertions and Functional Coverage_p380.jpg,True,"The image contains text and what appear to be testbench logs or simulation results rather than actual Verilog code. It seems to be a part of a document or book discussing certain scenarios that occur during the verification of Verilog code. Here is the text that can be considered similar to code or command-line actions, though it is not syntactical Verilog code:

```
run -all
KERNEL: 10 clk=1 req=0 gnt=0
KERNEL: 30 clk=1 req=1 gnt=0
KERNEL: 50 clk=1 req=0 gnt=0
KERNEL: 70 clk=1 req=0 gnt=1
KERNEL: 90 clk=1 req=1 gnt=0
KERNEL: 110 clk=1 req=0 gnt=0
KERNEL: 130 clk=1 req=0 gnt=0
```
The text also includes results such as ""PASS"" and ""FAIL"" referencing what seems to be a `test_implication` function or procedure, and it poses questions related to the test results at specific simulation times.","ll
KERNEL: 10 clk=1 req=0 gnt=0
KERNEL: 30 clk=1 req=1 gnt=0
KERNEL: 50 clk=1 req=0 gnt=0
KERNEL: 70 clk=1 req=0 gnt=1
KERNEL: 90 clk=1 req=1 gnt=0
KERNEL: 110 clk=1 req=0 gnt=0
KERNEL: 130 clk=1 req=0 gnt=0
","A text-based exploration of test implications in a Verilog simulation environment, questioning the occurrence of multiple pass and fail outcomes at specific simulation times.",False
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/AshokMehta-System Verilog Assertions and Functional Coverage_p394.jpg,True,"The image contains Verilog code. Here is the code transcribed from the image:

```verilog
fifowrite(10);
fiforead(9);
@(posedge clk);
@(posedge clk);
@(posedge clk); $finish(2);
end

always #5 clk=!clk;

task fiforeset;
fifo_write=0; fifo_read=0; rst_=1;
@(negedge clk); rst_=0;
@(negedge clk);
@(negedge clk); rst_=1;
endtask

task fifowrite;
input int nwrite;
fifo_read=0;
for (int i=0; i<nwrite-1; i++)
    begin
    @(negedge clk); fifo_write=1; fifo_data_in=i;
    // $display($stime,,, ""fifo Write Data = %0d"", fifo_data_in);
    end
endtask

task fiforead;
input int nread;
fifo_write=0;
repeat(nread)
    begin
    @(negedge clk); fifo_read=1;
    // $display($stime,,, ""fifo Read Data = %0d"", fifo_data_out);
    end
endtask

always @(posedge clk)
$display($stime,,, ""rst_=%b clk=%b fifo_write=%b fifo_read=%b
fifo_full=%b fifo_empty=%b wr_ptr=%0d rd_ptr=%0d cnt=%0d"",
rst_,clk,fifo_write,fifo_read,fifo_full,fifo_empty,fil_wr_-
ptr,fil_rd_ptr,fil.cnt);

endmodule
```

Please note that the code appears to be part of a larger module that is not completely shown in the image, and some comments may indicate that additional display functionality (`$display`) has been commented out.","
fifowrite(10);
fiforead(9);
@(posedge clk);
@(posedge clk);
@(posedge clk); $finish(2);
end

always #5 clk=!clk;

task fiforeset;
fifo_write=0; fifo_read=0; rst_=1;
@(negedge clk); rst_=0;
@(negedge clk);
@(negedge clk); rst_=1;
endtask

task fifowrite;
input int nwrite;
fifo_read=0;
for (int i=0; i<nwrite-1; i++)
    begin
    @(negedge clk); fifo_write=1; fifo_data_in=i;
    // $display($stime,,, ""fifo Write Data = %0d"", fifo_data_in);
    end
endtask

task fiforead;
input int nread;
fifo_write=0;
repeat(nread)
    begin
    @(negedge clk); fifo_read=1;
    // $display($stime,,, ""fifo Read Data = %0d"", fifo_data_out);
    end
endtask

always @(posedge clk)
$display($stime,,, ""rst_=%b clk=%b fifo_write=%b fifo_read=%b
fifo_full=%b fifo_empty=%b wr_ptr=%0d rd_ptr=%0d cnt=%0d"",
rst_,clk,fifo_write,fifo_read,fifo_full,fifo_empty,fil_wr_-
ptr,fil_rd_ptr,fil.cnt);

endmodule
","Caption: ""Verilog code example for FIFO read and write tasks, along with a clock toggling statement and a testbench sequence.""",False
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/FosterKrolnikLacey-Assertion-Based Design_p56.jpg,True,"Here is the Verilog code snippet from the image:

```verilog
`ifdef ASSERT_ON
FIFO_check: assert @(posedge clk) (reset_n => FIFO_depth < 7);
`endif
```

This code is demonstrating the use of conditional compilation in Verilog to include assertions in the design only when the `ASSERT_ON` macro is defined.","
`ifdef ASSERT_ON
FIFO_check: assert @(posedge clk) (reset_n => FIFO_depth < 7);
`endif
","""Best practices for naming Verilog assertions and methods for conditional assertion compilation.""",True
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/BallJones-Computer Aided Verification_p172.jpg,True,"The image contains pseudo-code for a Boolean program and two counterexample illustrations, some of which appear to represent program traces or states. Here is the pseudo-code from the image:

```verilog
(a) Boolean program

bool b1; /* i < 1000 */
bool b2; /* j < 1000 */

L1: b1, b2 := 1, 1;
L2: if (!b2) goto L7;
L3: assert (b1);
L4: skip;
L5: b1, b2 := *, *;
L6: goto L2;
L7: skip;

(b) Counterexample (c) Counterexample with loop

L1: b1 b2           L1: b1 b2
L2: b1 b2           L2: b1 b2
L3: b1 b2           L3: b1 b2
L4: b1 b2           L4: b1 b2
L5: b1 b2           L5: b1 b2
L6: b1 b2           L6: b1 b2
L2: b1 b2           L2: b1 b2
L3: b1 b2           L3: b1 b2
```

The `*` symbol in the statement `b1, b2 := *, *;` usually indicates non-deterministic assignment in programming language semantics.

The other parts of the text are academic in nature and describe a method of enriching counterexamples with loop information, detection of loops, feasibility of counterexamples with loops, and information about a loop detection algorithm.","
(a) Boolean program

bool b1; /* i < 1000 */
bool b2; /* j < 1000 */

L1: b1, b2 := 1, 1;
L2: if (!b2) goto L7;
L3: assert (b1);
L4: skip;
L5: b1, b2 := *, *;
L6: goto L2;
L7: skip;

(b) Counterexample (c) Counterexample with loop

L1: b1 b2           L1: b1 b2
L2: b1 b2           L2: b1 b2
L3: b1 b2           L3: b1 b2
L4: b1 b2           L4: b1 b2
L5: b1 b2           L5: b1 b2
L6: b1 b2           L6: b1 b2
L2: b1 b2           L2: b1 b2
L3: b1 b2           L3: b1 b2
","""Exploration of counterexamples in model checking with emphasis on loop detection and counterexample feasibility in Verilog programs.""",True
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/BeningFoster-Principles of Verifiable RTL Design_p242.jpg,True,"The image contains a portion of a textbook or educational material discussing Verilog code. The code on this page is as follows:

```verilog
module b_dp(ap_in0,ap_in1, ap_out0,ap_out1);
  input [39:0] ap_in0, ap_in1;
  output [47:0] ap_out0, ap_out1;
  reg [47:0]ap_out0, ap_out1;

  function [47:0] c_ecc_out;
    input [39:0] c_data_in;
    begin
      c_ecc_out = { (^ (c_data_in & 40'h00000007l)),
                    (^ (c_data_in & 40'h0000ff89)),
                    (^ (c_data_in & 40'h00f35c60)),
                    (^ (c_data_in & 40'h71c3ca84)),
                    (^ (c_data_in & 40'hd6455353)),
                    (^ (c_data_in & 40'h892e2fa38)),
                    (^ (c_data_in & 40'hr0294bd7)),
                    (^ (c_data_in & 40'hea360c677)),
                    c_data_in};
    end
  endfunction

  always @ (ap_in0 or ap_in1)
  begin
    ap_out0 = c_ecc_out (ap_in0);
    ap_out1 = c_ecc_out (ap_in1);
  end
endmodule //b_dp

assign ap_out0 = c_ecc_out (ap_in0);
assign ap_out1 = c_ecc_out (ap_in1);
```

This code defines a Verilog module with inputs and outputs, a function to calculate error-correcting codes, and procedural assignments within an always block, as well as continuous assignments outside the module scope with the `assign` keyword. It is worth noting that there appears to be a syntax convention error within this code as the ""assign"" lines should be inside the module definition to be syntactically correct—unless they are intended as an alternative example to the ""always"" block inside the module, which is a common educational method to show different ways to achieve similar functionality in Verilog.","
module b_dp(ap_in0,ap_in1, ap_out0,ap_out1);
  input [39:0] ap_in0, ap_in1;
  output [47:0] ap_out0, ap_out1;
  reg [47:0]ap_out0, ap_out1;

  function [47:0] c_ecc_out;
    input [39:0] c_data_in;
    begin
      c_ecc_out = { (^ (c_data_in & 40'h00000007l)),
                    (^ (c_data_in & 40'h0000ff89)),
                    (^ (c_data_in & 40'h00f35c60)),
                    (^ (c_data_in & 40'h71c3ca84)),
                    (^ (c_data_in & 40'hd6455353)),
                    (^ (c_data_in & 40'h892e2fa38)),
                    (^ (c_data_in & 40'hr0294bd7)),
                    (^ (c_data_in & 40'hea360c677)),
                    c_data_in};
    end
  endfunction

  always @ (ap_in0 or ap_in1)
  begin
    ap_out0 = c_ecc_out (ap_in0);
    ap_out1 = c_ecc_out (ap_in1);
  end
endmodule //b_dp

assign ap_out0 = c_ecc_out (ap_in0);
assign ap_out1 = c_ecc_out (ap_in1);
",Verilog code example showing the use of functions for combinational logic and procedural assignments for module outputs.,False
